,support,itemsets
38,0.0226319338285,[u'Kids Organic Chocolate Chip ZBars']
39,0.0134906296485,[u'Lemon Fruit & Nut Food Bar']
40,0.0466124159088,[u'Lightly Salted Baked Snap Pea Crisps']
41,0.0106597077459,[u'Maple Pumpkin Seeds with Sea Salt Chewy with a Crunch Granola Bars']
42,0.0198061590566,[u'Mixed Fruit Fruit Snacks']
43,0.0134751882563,[u'Multigrain Tortilla Chips']
44,0.020989999125,[u'Oats & Honey Gluten Free Granola']
45,0.0171914166448,[u'Organic Blue Corn Tortilla Chips']
46,0.0315467642563,[u'Organic Bunny Fruit Snacks Berry Patch']
47,0.0117508994611,[u'Organic Bunny Fruit Tropical Treat Fruit Snacks']
48,0.0107626503606,[u'Organic Cheddar Snack Mix']
49,0.01371195627,[u'Organic Chocolate Chip Chewy Granola Bars']
50,0.0188642341327,[u'Organic Dark Chocolate Peanut Butter Cups']
51,0.0118075178991,[u'Organic Lightly Salted Brown Rice Cakes']
52,0.0140928439441,[u'Organic Mini Sandwich Crackers Peanut Butter']
53,0.0104898524318,[u'Organic Simply Naked Pita Chips']
54,0.0310783753597,[u'Organic Summer Strawberry Bunny Fruit Snacks']
55,0.0165634666955,[u'Organic Thompson Seedless Raisins']
56,0.0123737022797,[u'Organic Tortilla Chips']
57,0.0113545703947,[u'Organic Wheat-Free & Gluten-Free Original Crackers']
58,0.0112413335186,[u'Organic White Cheddar Popcorn']
59,0.0151068286983,[u'Organic Whole Cashews']
60,0.0105310294776,[u'Original Beef Jerky']
61,0.0106597077459,[u'Original Fresh Stack Crackers']
62,0.0142987291734,[u'Original Popcorn']
63,0.0150450631296,[u'Original Real Vegetable Chips']
64,0.0301518918279,[u'Original Veggie Straws']
65,0.0103457327713,[u'Peanut Butter Bar']
66,0.0207738196342,[u'Peanut Butter Chocolate Chip Fruit & Nut Food Bar']
67,0.0131200362358,[u'Peanut Butter Cookie']
68,0.0159561052691,[u'Pita Chips Simply Naked']
69,0.0103148499869,[u'Plantain Chips']
70,0.0303011586191,[u'Pretzel Crisps Original Deli Style Pretzel Crackers']
71,0.0124663506328,[u'Raisins']
72,0.0126310588163,[u'Roasted & Salted Almonds']
73,0.0106494134845,[u'Roasted Salted Cashews']
74,0.0118384006835,[u'Salt & Pepper Krinkle Chips']
75,0.0109222114132,[u'Scoops! Tortilla Chips']
76,0.0279592141361,[u'Sea Salt & Vinegar Potato Chips']
77,0.0214789765445,[u'Sea Salt Pita Chips']
78,0.0203260192606,[u'Sea Salt Potato Chips']
79,0.0111795679498,[u'Sour Cream & Onion Potato Chips']
80,0.0149935918222,[u'Sweet Potato Tortilla Chips']
81,0.0181539300917,[u'Trail Mix']
82,0.0146899111091,[u'Veggie Chips']
83,0.0112670691723,[u'Walnut Halves & Pieces']
84,0.0126979715158,[u'White Cheddar Popcorn']
85,0.0108141216679,[u'White Chocolate Macadamia Nut Energy Bar']
86,0.016419347035,[u'Whole Almonds']
87,0.0112258921264,[u'Whole Grain Cheddar Baked Snack Crackers']
88,0.0158325741316,[u'ZBar Organic Chocolate Brownie Energy Snack']
